2007,5.4
2008,5.61
2009,4.79
2010,2.93
2011,5.69
2012,4.43
2013,5.04
2014,6.21
2015,5.91
2016,5.39
2017,5.15
2018,5.63
2019,5.52
2020,6.82
2021,5.09
